ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
830,9/13/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,NE139,Bird,Glaucous gull,,2011,,,0,0,,1,Large
831,9/12/11 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,UNKB,Bird,Unknown bird,N,2011,,815,0,0,Take-off run,,
832,9/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,N5111,Bird,Killdeer,,2011,,,0,0,,1,Small
833,9/10/11 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,PVT,PRIVATELY OWNED,K5114,Bird,American kestrel,N,2011,Day,1000,1060,85,Climb,1,Small
834,9/10/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,K3302,Bird,Red-tailed hawk,N,2011,Dusk,1944,0,0,Landing Roll,1,Medium
835,9/9/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,N5111,Bird,Killdeer,,2011,,,0,0,,1,Small
836,9/4/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,N5111,Bird,Killdeer,,2011,,,0,0,,1,Small
837,9/4/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SCX,SUN COUNTRY AIRLINES,N6103,Bird,Whimbrel,S,2011,Day,1853,12000,250,Approach,1,Small
838,9/3/11 0:00,WA,KMWH,GRANT COUNTY ARPT,UNK,UNKNOWN,1F11,Mammal,Coyote,,2011,,,0,0,,1,Large
839,9/3/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,R1101,Bird,Barn owl,,2011,,,0,0,,1,Small
840,9/1/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,COA,CONTINENTAL AIRLINES,YI005,Bird,Barn swallow,N,2011,Day,1835,0,143,Landing Roll,1,Small
841,8/31/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,ZX3,Bird,Sparrows,,2011,,,0,0,,1,Small
842,8/31/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,ZX3,Bird,Sparrows,,2011,,,0,0,,1,Small
843,8/29/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI005,Bird,Barn swallow,N,2011,,,0,0,Landing Roll,1,Small
844,8/29/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI005,Bird,Barn swallow,N,2011,Day,1015,0,0,Take-off run,1,Small
845,8/24/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,R1101,Bird,Barn owl,N,2011,Night,140,0,90,Take-off run,1,Small
846,8/24/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,YI005,Bird,Barn swallow,N,2011,Day,1220,40,140,Approach,1,Small
847,8/23/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,N6016,Bird,Western sandpiper,N,2011,Night,2250,0,0,Landing Roll,1,Small
848,8/22/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AWE,US AIRWAYS,YI005,Bird,Barn swallow,N,2011,Day,1301,0,0,Approach,1,Small
849,8/22/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,R1101,Bird,Barn owl,,2011,,,0,0,,1,Small
850,8/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,1C2102,Mammal,Hoary bat,N,2011,Day,800,0,0,Approach,1,Small
851,8/19/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2011,,,0,0,,1,Medium
852,8/19/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,K5114,Bird,American kestrel,N,2011,Night,2354,50,200,Climb,1,Small
853,8/18/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,YL001,Bird,European starling,S,2011,Day,850,50,120,Approach,10-Feb,Small
854,8/16/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,ZX017,Bird,American goldfinch,,2011,,,0,0,,1,Small
855,8/15/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKB,Bird,Unknown bird,N,2011,Night,500,0,0,Approach,1,
856,8/13/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,ZX303,Bird,Savannah sparrow,N,2011,Dawn,,0,0,Approach,1,Small
857,8/12/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,R1101,Bird,Barn owl,N,2011,Night,130,0,0,Take-off run,1,Small
858,8/8/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,ZT002,Bird,Western meadowlark,,2011,,,0,0,,1,Small
859,8/6/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,K5114,Bird,American kestrel,,2011,,,0,0,,1,Small
860,8/4/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,K5114,Bird,American kestrel,N,2011,Day,800,0,0,Approach,1,Small
861,8/3/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,JBU,JETBLUE AIRWAYS,YI005,Bird,Barn swallow,N,2011,Day,1030,200,140,Approach,10-Feb,Small
862,8/3/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,JBU,JETBLUE AIRWAYS,YI005,Bird,Barn swallow,N,2011,Day,1626,0,0,Landing Roll,1,Small
863,7/27/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI005,Bird,Barn swallow,N,2011,Day,1954,0,0,Approach,1,Small
864,7/27/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,ZX3,Bird,Sparrows,,2011,,,0,0,,1,Small
865,7/26/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,YI005,Bird,Barn swallow,N,2011,Day,1320,0,0,Landing Roll,1,Small
866,7/24/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K5114,Bird,American kestrel,,2011,,,0,0,,1,Small
867,7/23/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKBS,Bird,Unknown bird - small,,2011,,,0,0,,10-Feb,Small
868,7/22/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,YI,Bird,Swallows,,2011,,,0,0,,1,Small
869,7/21/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,YH004,Bird,Horned lark,N,2011,Day,800,0,0,Climb,1,Small
870,7/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,1130,0,100,Take-off run,1,Small
871,7/18/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,YI005,Bird,Barn swallow,,2011,,,0,0,,1,Small
872,7/18/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,YI,Bird,Swallows,N,2011,Day,1900,0,0,Landing Roll,1,Small
873,7/17/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2011,,,0,0,,1,Medium
874,7/15/11 0:00,WA,KHQM,BOWERMAN ARPT,USCBP,US CUSTOMS AND BORDER PROTECTION,UNKBS,Bird,Unknown bird - small,N,2011,Day,1115,0,70,Take-off run,10-Feb,Small
875,7/12/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,JBU,JETBLUE AIRWAYS,UNKBS,Bird,Unknown bird - small,N,2011,Day,2025,0,0,Approach,1,Small
876,7/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI009,Bird,Cliff swallow,N,2011,Day,,0,0,Approach,1,Small
877,7/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI009,Bird,Cliff swallow,N,2011,Day,1300,0,0,Landing Roll,1,Small
878,7/10/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,DAL,DELTA AIR LINES,ZX3,Bird,Sparrows,,2011,Night,449,10,0,Approach,10-Feb,Small
879,7/8/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,1345,0,0,Approach,1,Small
880,7/6/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2011,,,0,0,,1,Medium
881,7/5/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,T1007,Bird,Vaux's swift,N,2011,,,0,0,Approach,1,Small
882,7/4/11 0:00,WA,KPSC,TRI-CITIES,QXE,HORIZON AIR,ZX3,Bird,Sparrows,N,2011,Day,,0,0,Landing Roll,1,Small
883,7/4/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YI009,Bird,Cliff swallow,N,2011,Day,2050,0,0,Arrival,1,Small
884,7/4/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,ZX3,Bird,Sparrows,,2011,,,0,0,,1,Small
885,7/1/11 0:00,WA,KPSC,TRI-CITIES,SKW,SKYWEST AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,,0,0,Take-off run,10-Feb,Small
886,6/28/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2011,,,0,0,,1,Medium
887,6/23/11 0:00,WA,KRLD,RICHLAND ARPT,BUS,BUSINESS,NE121,Bird,California gull,M,2011,Day,1730,10,55,Climb,1,Medium
888,6/22/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UPS,UPS AIRLINES,Z6007,Bird,American robin,N,2011,Night,438,0,0,Approach,1,Small
889,6/22/11 0:00,WA,KPSC,TRI-CITIES,SKW,SKYWEST AIRLINES,ZX3,Bird,Sparrows,N,2011,Dusk,,0,0,Landing Roll,1,Small
890,6/21/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UAL,UNITED AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,1945,0,0,Landing Roll,1,Small
891,6/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,1630,0,0,Approach,1,Small
